OBJECTID,PROJECT_ID,FISCAL_YEAR,CONSTRUCTION_YEAR,CONCEPT_CODE,CONCEPT_DESCRIPTION,WORK_CONCEPT,SUB_PROGRAM_CODE,SUB_PROGRAM_DESCRIPTION,ROUTE_TYPE,ROUTE_NAME,ROUTE,COUNTY,TITLE,LIMITS,MILES,REGION,CONSTRUCTION_COST_RANGE_WD,LAST_REFRESH_DATE,WORK_DESCRIPTION,ASSEMBLY_DISTRICT_NUMBERS,CONGRESSIONAL_DISTRICT_NUMBERS,SENATE_DISTRICT_NUMBERS
202207,23901270,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,031,WIS 031,RACINE                        ,"GREEN BAY RD, C RACINE/V MT PLEASNT",STH 11 TO STH 20,1.51,SE,"$20,000,000 - $24,999,999",2021/07/24 08:34:36+00,To Be Determined,"63,66",1,"22,21"
202209,25650970,2022,2022,MISC  ,MISCELLANEOUS,CONST/SAFETY,303,STATE HIGHWAY REHABILITATION                                               ,OFF,SYS,OFF SYS,MILWAUKEE                     ,STH 57,RAMPS WITH SILVER SPRING DRIVE,,SE,"$100,000 - $249,999",2021/07/24 08:34:36+00,"STH 57, RAMPS WITH SILVER SPRING DR",10,4,4
202210,44302271,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,042,WIS 042,DOOR                          ,ALGOMA - STURGEON BAY,CTH X - CENTER ROAD,1.908,NE,"$500,000 - $749,999",2021/07/24 08:34:36+00,To Be Determined,1,8,1
202212,91500671,2022,2022,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST/RESURF,303,STATE HIGHWAY REHABILITATION                                               ,WIS,032,WIS 032,OCONTO                        ,BREED-TOWNSEND,PARKWAY DRIVE - CTH W,4.29,NE,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,MILL AND OVERLAY THE EXISTING ASPHALTIC PAVEMENT.,36,8,12
202214,10220570,2025,2025 - 2026,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONSTRUCTION/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,I-,094,I-094,DUNN                          ,MENOMONIE - EAU CLAIRE,RED CEDAR RIVER TO USH 12 (EB & WB),8.589,NW,"$13,000,000 - $13,999,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, along with all incidentals necessary.","67,29",3,"10,23"
202215,88950014,2024,2024,RECST ,"RECONSTRUCTION, PRESERVATION",CONSTRUCTION/RECONSTRUCT,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,LOC,STR,LOC STR,ASHLAND                       ,"C ASHLAND, PRENTICE AVE            ",11TH STREET E TO 6TH STREET E      ,0.35,NW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,"Replace deteriorated pavement with new asphalt pavement and reconstruct sidewalks, curb and gutter, storm sewer and water main.",74,7,25
202217,10500183,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,029,WIS 029,CHIPPEWA                      ,CHIPPEWA FALLS - THORP,160TH STREET BRIDGE B-09-0032,0.006,NW,"$750,000 - $999,999",2021/07/24 08:34:36+00,To Be Determined,68,3,23
202218,69960528,2022,2022,MISC  ,MISCELLANEOUS,CONST - BIKE/PED PATH & REHAB CANAL,290,TRANSPORTATION ALTERNATIVES                                                ,NON,HWY,NON HWY,COLUMBIA                      ,"CITY OF PORTAGE, PORTAGE CANAL",ADAMS STREET TO CP RAILWAY BRIDGE,0,SW,"$750,000 - $999,999",2021/07/24 08:34:36+00,Construct bicycle/pedestrian trail and rehabilitate the historic canal.,81,6,27
202219,57600073,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,130,WIS 130,RICHLAND                      ,LONE ROCK - STH 154,USH 14 TO WEST JUNCTION CTH B,5.92,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,To Be Determined,51,2,17
202220,16400760,2025,2025 - 2026,RSRF10,RESURFACING (OVERLAY < 2.5 INCHES),"CON/MILL&O'LAY/B52-139,823,XXX/RSRF",303,STATE HIGHWAY REHABILITATION                                               ,US,014,US 014,RICHLAND                      ,READSTOWN - RICHLAND CENTER,VERNON CO LINE TO KALISH LANE,10.4,SW,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,Mill and Overlay Resurfacing.,49,3,17
202221,11660066,2026 - 2027,2025 - 2026,BRPVTV,BRIDGE PREVENTIVE,CONST/BRIDGE PREVENTIVE,303,STATE HIGHWAY REHABILITATION                                               ,I-,039,I-039,MARATHON                      ,STEVENS POINT - WAUSAU,IH 39 BRIDGE POLYMER OVERLAYS,0,NC,"$500,000 - $749,999",2021/07/24 08:34:36+00,Place a thin polymer overlay on three structures.,"86,85",7,29
202222,11980373,2025,2025 - 2026,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTRUCTION/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,US,053,US 053,DOUGLAS                       ,"C SUPERIOR, EAST SECOND STREET",2ND AVENUE EAST TO HUGHITT AVENUE,1.552,NW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, along with all incidentals necessary.",73,7,25
202223,40750071,2026 - 2027,2025 - 2026,RSRF10,RESURFACING (OVERLAY < 2.5 INCHES),CONSTR/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,096,WIS 096,WAUPACA                       ,FREMONT - APPLETON,STH 110 TO USH 45,5.63,NC,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Remove top layer of the pavement and apply a new surface.,40,8,14
202224,71800079,2023,2023,MISC  ,MISCELLANEOUS,CONSTR/CULVERT REPAIR & REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,WIS,035,WIS 035,PIERCE                        ,PEPIN - HAGER CITY,USH 63 INTERSECTION,0.058,NW,"$500,000 - $749,999",2021/07/24 08:34:36+00,Replace and repair culverts at the USH 63 intersection.,93,3,31
202226,11960477,2024,2024,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTR/RESURFACE/BRRHB,303,STATE HIGHWAY REHABILITATION                                               ,US,053,US 053,BARRON                        ,NEW AUBURN - RICE LAKE,CHIPPEWA COUNTY LINE - USH 8 (SB),16.63,NW,"$12,000,000 - $12,999,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, adding concrete overlays to the B-03-0014, B-03-0016, B-03-0018, B-03-0020, B-03-0024, B-03-0026, B-03-0030, B-03-0037 bri...more",75,7,25
202227,14000173,2022,2022,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST/ MILL & OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,WIS,016,WIS 016,COLUMBIA                      ,PORTAGE - COLUMBUS,USH 51 TO LINCOLN AVE,10.03,SW,"$5,000,000 - $5,999,999",2021/07/24 08:34:36+00,Resurfacing-Overlay Project,42,6,14
202228,57100072,2025,2025 - 2026,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),"CONST/MILL & O'LAY,B62-51,-238/RSRF",303,STATE HIGHWAY REHABILITATION                                               ,WIS,082,WIS 082,VERNON                        ,LAFARGE - HILLSBORO,KICKAPOO RIVER TO STH 33,16,SW,"$9,000,000 - $9,999,999",2021/07/24 08:34:36+00,Resurface Mill and Overlay.,96,3,32
202229,89150070,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRRPL,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,County,TT ,County TT ,CHIPPEWA                      ,STH 178 - CTH K                    ,CHIPPEWA RIVER BRIDGE B-09-0387,0.139,NW,"$5,000,000 - $5,999,999",2021/07/24 08:34:36+00,Replace existing deteriorated bridge.,67,7,23
202231,92610661,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,032,WIS 032,ONEIDA                        ,CRANDON - THREE LAKES,WHITEFISH LAKE INLET C-43-0015,0.012,NC,"$250,000 - $499,999",2021/07/24 08:34:36+00,To Be Determined,34,7,12
202233,53500270,2024,2024,PVRPLA,PAVEMENT REPLACEMENT,CONST/ PAVEMENT REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,US,051,US 051,ROCK                          ,"C JANESVILLE, CENTER AVENUE",NICOLET STREET TO COURT STREET,1.46,SW,"$8,000,000 - $8,999,999",2021/07/24 08:34:36+00,Pavement replacement.,44,1,15
202235,11960478,2022,2022,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTRUCTION/RESURF/BRIDGE REHAB,303,STATE HIGHWAY REHABILITATION                                               ,US,053,US 053,BARRON                        ,NEW AUBURN - RICE LAKE,CTH I TO USH 8 (NB),8.58,NW,"$6,000,000 - $6,999,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, adding concrete overlays to the B-03-0025, B-03-0031, and B-03-0038 bridges, along with all incidentals necessary.",75,7,25
202236,69991089,2026 - 2027,2025 - 2026,PVRPLA,PAVEMENT REPLACEMENT,CONST/LOCAL UTILITIES/WESTON,303,STATE HIGHWAY REHABILITATION                                               ,BUS,051,BUS 051,MARATHON                      ,ROTHSCHILD - SCHOFIELD,EVEREST DRIVE TO SCHOFIELD AVENUE,1.25,NC,"$0 - $99,999",2021/07/24 08:34:36+00,Complete a pavement replacemet of the existing pavement and study intersection for safety improvements.,"85,86",7,29
202237,81300072,2022,2022,BRNEW ,NEW BRIDGE,CONSTRUCTION/NEW BRIDGE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,070,WIS 070,WASHBURN                      ,SPOONER - STONE LAKE,CRYSTAL BROOK BRIDGE B-65-0060,0.015,NW,"$750,000 - $999,999",2021/07/24 08:34:36+00,"This project consists of replacing the existing Crystal Brook culvert with a new bridge, B-65-0060.",75,7,25
202238,11004670,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRIDGE REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,I-,041,I-041,MILWAUKEE                     ,IH 41 AIRPORT FREEWAY,60TH STREET BRIDGE,0.118,SE,"$7,000,000 - $7,999,999",2021/07/24 08:34:36+00,"IH894, 84TH ST TO 35TH ST (WB); Resurface","82,84",5,28
202239,76200070,2023,2023,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTRUCTION/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,128,WIS 128,ST. CROIX                     ,ELMWOOD - STH 64,STH 29 TO USH 12,5.83,NW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, bridge replace existing B-55-0088, along with all incidentals necessary.",29,7,10
202241,14404071,2022,2022,MISC  ,MISCELLANEOUS,CONST/ HSIP,303,STATE HIGHWAY REHABILITATION                                               ,US,045,US 045,FOND DU LAC                   ,"W JOHNSON ST, C OF FOND DU LAC",PIONEER ROAD INTERSECTION,0.089,NE,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Safety improvements at the STH 23 and Pioneer Road intersection.,52,6,18
202244,16104471,2023,2023,PVRPLA,PAVEMENT REPLACEMENT,CONST/PVRPLA,303,STATE HIGHWAY REHABILITATION                                               ,WIS,013,WIS 013,PRICE                         ,"C PHILLIPS, LAKE STREET",CTH D TO CTH F,1.999,NC,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Resurface existing pavement.,74,7,25
202245,75750176,2025,2025 - 2026,RSRF15,RESURF (OVERLAY < 2.5 IN W/SOME FULL DEPTH PATCHG),CONST/MILL & O'LAY/B-32-100/RSRF,303,STATE HIGHWAY REHABILITATION                                               ,WIS,016,WIS 016,LA CROSSE                     ,LA CROSSE - SPARTA,LOSEY BLV TO SOUTH KINNEY COULEE RD,2.89,SW,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,"Repair, Mill and Overlay.","95,94",3,32
202246,59890031,2023,2023,RCND10,RECONDITION (INTERSECTION/WIDEN/SHOULDER),CONST OPS/RECONDITION,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,LOC,STR,LOC STR,ROCK                          ,"TOWN OF BELOIT, PARK AVENUE        ",CRANSTON ROAD TO E INMAN PARKWAY,1.56,SW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,Reconditioning Project,"45,31",2,"11,15"
202247,56670075,2022,2022,RECST ,"RECONSTRUCTION, PRESERVATION",CONST OPS/RECONSTRUCT,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,Q  ,County Q  ,GRANT                         ,C OF FENNIMORE - T CASTLE ROCK     ,US 61 TO CTH G                     ,10.1,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,206 STP Rural project,49,3,17
202278,10801272,2022,2022,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,US,012,US 012,WALWORTH                      ,LAKE GENEVA - ELKHORN RD (USH 12),EB STH 50 TO STH 67,10.5,SE,"$11,000,000 - $11,999,999",2021/07/24 08:34:36+00,"USH 12, STH 50 to STH 67","31,32",1,11
202280,31400072,2022,2022,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONST/ MILL & OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,WIS,059,WIS 059,ROCK                          ,EDGERTON - WHITEWATER,VICKERMAN ROAD TO E COUNTY LINE,7.07,SW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,"Rumble Strips, Pavement Marking, Resurface",43,1,15
202281,70500074,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,073,WIS 073,CLARK                         ,NEILLSVILLE - THORP,USH 10 E TO W 19TH ST,1.191,NW,"$500,000 - $749,999",2021/07/24 08:34:36+00,To Be Determined,69,7,23
202284,25450372,2023,2023,MISC  ,MISCELLANEOUS,CONST/INTERSECTION AND SIGNALS,303,STATE HIGHWAY REHABILITATION                                               ,WIS,181,WIS 181,MILWAUKEE                     ,76TH ST (STH 181),INTERSECTION WITH HAMPTON AVENUE,0.019,SE,"$500,000 - $749,999",2021/07/24 08:34:36+00,76TH ST (STH 181)INTERSECTION WITH HAMPTON AVE,"17,12",4,"4,6"
202286,88400070,2026 - 2027,2027,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTRUCTION/CIR/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,087,WIS 087,POLK                          ,ST. CROIX FALLS - GRANTSBURG,USH 8 TO 240' N OF MINNESOTA ST,1.11,NW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Pavement resurfacing on STH 87.,28,7,10
202289,63550074,2022,2022,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/RECONSTRUCT,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,Z  ,County Z  ,ADAMS                         ,CTH H - CTH F                      ,EDGEWOOD AVENUE TO CTH F           ,3.18,NC,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,,41,3,14
202291,70270071,2023,2023,MISC  ,MISCELLANEOUS,CONSTRUCTION/SAFETY,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,O  ,County O  ,JACKSON                       ,MILLSTON - CTH HH,MCKENNA ROAD INTERSECTION,0.097,NW,"$250,000 - $499,999",2021/07/24 08:34:36+00,Improve safety by realigning the CTH O and McKenna Road intersection.,70,7,24
202294,66300081,2024,2024,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/ STRUCTURE REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,WIS,044,WIS 044,COLUMBIA                      ,PARDEEVILLE - MANCHESTER,FOX RIVER STRUCTURE,0.018,SW,"$750,000 - $999,999",2021/07/24 08:34:36+00,Bridge Replacement Project,42,6,14
202296,52630060,2023,2023,MISC  ,MISCELLANEOUS,CONST/SIGNING/MARKING/CURVE PAV'T,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,T  ,County T  ,SAUK                          ,BARABOO - IH 90/94,CITY VIEW RD/MAN MOUND RD TO CTH U,4.612,SW,"$500,000 - $749,999",2021/07/24 08:34:36+00,"Improve corridor safety through treatments recommended in the August 2019 Corridor Safety Evaluation (CSE).  Treatments include signing and marking, as well as widening the pavement at curves.",81,2,27
202297,57280073,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST OPS/BRIDGE REPLACEMNET,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,DANE                          ,"TOWN OF PERRY, DRAMMEN VALLERY RD  ","PLEASANT VALLEY BR BRIDGE,B-13-0691",0.024,SW,"$250,000 - $499,999",2021/07/24 08:34:36+00,Bridge Replacement project.,80,2,27
202298,50800282,2024,2024,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/REPLACE STRUCTURE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,023,WIS 023,SAUK                          ,SPRING GREEN - REEDSBURG,STRUCTURES B-56-235 & B-56-236,0.005,SW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Replace existing structure over Honey Creek,51,2,17
202300,12290471,2023,2023,RECSTE,"RECONSTRUCTION, EXPANSION",CONST/PHASE 2 RECST W/ EXPANSION,302,MAJOR HIGHWAY DEVELOPMENT                                                  ,LOC,STR,LOC STR,MILWAUKEE                     ,N PORT WASHINGTON RD,BENDER RD TO W DAPHNE RD,0.599,SE,"$12,000,000 - $12,999,999",2021/07/24 08:34:36+00,"I-43 NS FRWY, SILVER SPRING DR TO STH 60","24,11",4,"4,8"
202301,27031170,2022,2022,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/RECONSTRUCT W/ NO ADDL LANES,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,LOC,STR,LOC STR,RACINE                        ,GOOLD STREET                       ,DOUGLAS AVENUE TO MAIN STREET      ,0.636,SE,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,"GOOLD ST, DOUGLAS AVE TO MAIN ST",66,1,22
202302,52150380,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRIDGE REPLACEM/BRRPL,303,STATE HIGHWAY REHABILITATION                                               ,WIS,081,WIS 081,GRANT                         ,CASSVILLE - LANCASTER,HACKETT BRANCH BRIDGE B-22-292,0.125,SW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Bridge Replacement.,49,3,17
202303,69330077,2025,2025 - 2026,RSRF15,RESURF (OVERLAY < 2.5 IN W/SOME FULL DEPTH PATCHG),CONST/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,173,WIS 173,WOOD                          ,BABCOCK - NEKOOSA,STH 80 NB TO CRANBERRY BRIDGE,5.23,NC,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Complete a 2 inch overlay over a cold in place recycling pavement to extend the service life of the existing pavement.,70,"3,7",24
202304,27220771,2022,2022,PVRPLA,PAVEMENT REPLACEMENT,CONST/RESURFACE,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,O  ,County O  ,WAUKESHA                      ,MOORLAND ROAD                      ,I-94 TO W BLUEMOUND ROAD           ,0.77,SE,"$6,000,000 - $6,999,999",2021/07/24 08:34:36+00,MOORLAND RD (I94 TO W BLUEMOUND RD) RESURFACE,13,5,5
202305,85100071,2026 - 2027,2025 - 2026,MISC  ,MISCELLANEOUS,CONST/MISC/CULVERT REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,WIS,013,WIS 013,BAYFIELD                      ,CORNUCOPIA - PORT WING,"LOST CREEK CULVERTS C-04-0031,32,33",0.589,NW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,"This project consists of replacing the 3 existing Lost Creek (C-04-0033), (C-04-0031), (C-04-0032) culverts and all incidentals necessary.",74,7,25
202306,10604870,2026 - 2027,2025 - 2026,BRRHB ,BRIDGE REHABILITATION,CONST/BRIDGE DECK OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,I-,794,I-794,MILWAUKEE                     ,IH 794 EAST WEST FREEWAY,MARQUETTE IC TO LAKE IC,0.62,SE,"$10,000,000 - $10,999,999",2021/07/24 08:34:36+00,"IH 794, MARQUETTE IC TO LAKE IC, BRIDGE DECK OVERLAY","19,16",4,"6,7"
202307,15500474,2025,2025 - 2026,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTRUCTION/RESURFACING,303,STATE HIGHWAY REHABILITATION                                               ,US,063,US 063,BARRON                        ,"C CUMBERLAND, ELM STR AND 2ND AVE",WEST JUNCTION STH 48 TO CHARRIE LN,2.303,NW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, along with all incidentals necessary.",75,7,25
202308,73610070,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRRPL,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,County,G  ,County G  ,BUFFALO                       ,FOUNTAIN CITY - N JCT STH 95       ,EAGLE CREEK BRIDGE B-06-0194,0.008,NW,"$250,000 - $499,999",2021/07/24 08:34:36+00,Replace existing deteriorated bridge.,92,3,31
202310,52150274,2023,2023,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONST/MILL & O'LAY/RSRF,303,STATE HIGHWAY REHABILITATION                                               ,WIS,081,WIS 081,GRANT                         ,CASSVILLE - LANCASTER,CTH Y TO STH 35,8.88,SW,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,Resurface Mill and Overlay.,49,3,17
202311,85200271,2026 - 2027,2025 - 2026,BRRHB ,BRIDGE REHABILITATION,CONSTRUCTION/BRIDGE REHABILITATION,303,STATE HIGHWAY REHABILITATION                                               ,WIS,077,WIS 077,SAWYER                        ,HAYWARD - CLAM LAKE,TEAL RIVER BRIDGE B-57-0025,0.048,NW,"$100,000 - $249,999",2021/07/24 08:34:36+00,Concrete overlay on bridge.,74,7,25
202312,86100275,2024,2024,MISC  ,MISCELLANEOUS,CONSTRUCTION/WATER MAIN,303,STATE HIGHWAY REHABILITATION                                               ,WIS,124,WIS 124,CHIPPEWA                      ,"C CHIPPEWA FALLS, BAY STREET",HIGH STREET TO BRIDGE STREET,0.82,NW,"$250,000 - $499,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, along with all incidentals necessary.",67,3,23
202313,14702771,2025,2025 - 2026,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONST/RESURF-MILL/OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,WIS,042,WIS 042,MANITOWOC                     ,MANITOWOC-TWO RIVERS,E MAGNOLIA AVE-12TH STREET,3.95,NE,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,"MANITOWOC-TWO RIVERS, MILL/OVERLAY","25,2",6,"1,9"
202314,11660577,2023,2023,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTR/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,I-,039,I-039,WAUSHARA                      ,PACKWAUKEE - PLAINFIELD,"MARQUETTE COUNTY LINE TO CTH O, NB",13.1,NC,"$7,000,000 - $7,999,999",2021/07/24 08:34:36+00,Mill and overlay this portion of roadway.,"41,72",6,"14,24"
202315,11660585,2026 - 2027,2025 - 2026,RSRF10,RESURFACING (OVERLAY < 2.5 INCHES),CONST/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,I-,039,I-039,MARATHON                      ,STEVENS POINT - WAUSAU,"STH 34 TO BULL JUNIOR CREEK, SB",5.62,NC,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Resurface existing surface.,86,7,29
202316,24101070,2026 - 2027,2025 - 2026,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,059,WIS 059,MILWAUKEE                     ,"W NATIONAL AVE, CITY OF MILWAUKEE",39TH ST TO 1ST ST,2.62,SE,"$20,000,000 - $24,999,999",2021/07/24 08:34:36+00,To Be Determined,"9,7,8",4,3
202318,55100063,2023,2023,MISC  ,MISCELLANEOUS,CONST/SHOULDER RUMBLE STRIPS/MISC,303,STATE HIGHWAY REHABILITATION                                               ,WIS,071,WIS 071,MONROE                        ,SPARTA - WILTON,HARMONY AVENUE TO NORTH STREET,11.74,SW,"$0 - $99,999",2021/07/24 08:34:36+00,Add rumble strips to the existing paved shoulders.,96,3,32
202319,71800077,2024,2024,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTRUCTION/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,035,WIS 035,PEPIN                         ,PEPIN - HAGER CITY,WALNUT ST TO PEPIN/PIERCE CO LINE,4.486,NW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, along with all incidentals necessary.",93,3,31
202320,11660081,2022,2022,RSRF10,RESURFACING (OVERLAY < 2.5 INCHES),CONSTR/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,I-,039,I-039,PORTAGE                       ,STEVENS POINT - WAUSAU,"CTH X TO MARATHON COUNTY LINE, NB",6.48,NC,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Mill and overlay this portion of roadway.,70,"3,7",24
202322,20100372,2026 - 2027,2025 - 2026,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,175,WIS 175,MILWAUKEE                     ,APPLETON AVE,STH 181 TO IH 41,4.265,SE,"$8,000,000 - $8,999,999",2021/07/24 08:34:36+00,To Be Determined,"22,17,12",4,"8,4,6"
202323,49860057,2025,2025 - 2026,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRRPL,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,FOND DU LAC                   ,"C FOND DU LAC, PROMEN DRIVE        ",LAKESIDE PARK LAGOON               ,0.163,NE,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,"2020-2025 Local Bridge Program; to replace structure P200720 located in the City of Fond Du Lac, Lakeside Park Lagoon.",52,6,18
202324,59780074,2023,2023,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRIDGE REPLACEMENT,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,SAUK                          ,"T OF IRONTON, MARSHALL ROAD        ","CARR VALLEY BR BRIDGE, B-56-0244",0,SW,"$250,000 - $499,999",2021/07/24 08:34:36+00,Local Bridge Replacement Project,50,2,17
202325,67940072,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/REPLACEMENT,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,County,Y  ,County Y  ,PORTAGE                       ,CTH K - MARATHON COUNTY LINE       ,PLOVER RIVER BRIDGE B-49-0003      ,0,NC,"$500,000 - $749,999",2021/07/24 08:34:36+00,,71,3,24
